name,lat,lon,city,country
Estación de tren La Zaida-Sastago,41.320542,-0.427115,La Zaida,España
Estación de tren La Puebla de Hijar,41.2244,-0.438595,La Puebla de Híjar,España
Estación de tren Samper,41.182183,-0.368761,Samper De Calanda,España
Estación de tren Caspe,41.239738,-0.042701,Caspe,España
Estación de tren Fabara,41.234405,0.143284,Fabara / Favara,España
Estación de tren Nonaspe,41.213788,0.242472,Nonaspe / Nonasp,España
Estación de tren Faio-La Pobla de Massaluca (fayon),41.225247,0.350275,la Pobla de Massaluca,España
Estación de tren Riba-Roja Debre,41.248451,0.480888,Riba-roja d'Ebre,España
Estación de tren Flix,41.229502,0.540071,Flix,España
Estación de tren Asco,41.182479,0.568964,Ascó,España
Estación de tren Mora La Nova,41.106374,0.652893,Móra la Nova,España
Estación de tren Capcanes,41.102057,0.78033,Capçanes,España
Estación de tren Marca-Falset,41.130945,0.810328,Marçà,España
Estación de tren Pradell de La Teixeta,41.13324,0.858371,Pradell de la Teixeta,España
Estación de tren Riudecanyes-Botarell,41.140027,0.975648,Riudecanyes,España
Estación de tren Les Borges del Camp,41.165525,1.020774,Les Borges del Camp,España
Estación de tren Reus,41.160524,1.099979,Reus,España
Estación de tren Vila-Seca,41.112744,1.150389,Vila-seca,España
Estación de tren Altafulla-Tamarit,41.136446,1.37453,Altafulla,España
Estación de tren Torredembarra,41.142857,1.40566,Torredembarra,España
Estación de tren Sant Vicenc de Calders,41.186245,1.526315,el Vendrell,España
Estación de tren Vilanova I La Geltru,41.219993,1.733331,Vilanova i la Geltrú,España
Estación de tren Valls,41.28963,1.258734,Valls,España
Estación de tren Duesaigues-Largentera,41.143776,0.920942,l'Argentera,España
Estación de tren Port Aventura,41.08707,1.145486,Salou,España
Estación de tren Juneda,41.543879,0.825584,Juneda,España
Estación de tren Les Borges Blanques,41.521461,0.877715,les Borges Blanques,España
Estación de tren Vinaixa,41.425077,0.970308,Vinaixa,España
Estación de tren Vimbodi I Poblet,41.40261,1.046008,Vimbodí i Poblet,España
Estación de tren Lespluga de Francoli,41.400525,1.103389,l'Espluga de Francolí,España
Estación de tren Montblanc,41.376648,1.165431,Montblanc,España
Estación de tren Nulles-Brafim,41.250306,1.297449,Nulles,España
Estación de tren Vilabella,41.240312,1.315601,el Padrós,España
Estación de tren Salomo,41.223474,1.376617,Salomó,España
Estación de tren Roda de Mar,41.186315,1.4551443,Roda de Berà,España
Estación de tren Vilaverd,41.337602,1.176599,Vilaverd,España
Estación de tren La Riba,41.318354,1.181248,la Riba,España
Estación de tren Puigverd de Lleida-Artesa de Lleida,41.55365,0.733058,Puigverd de Lleida,España
Estación de tren La Floresta,41.504263,0.924303,la Floresta,España
Estación de tren Portbou,42.424494,3.157858,Portbou,España
Estación de tren Llanca,42.3665949,3.148987,Llançà,España
Estación de tren Fuentes de Ebro,41.515065,-0.618625,Fuentes de Ebro,España
Estación de tren La Selva del Camp,41.210284,1.144072,Selva,España
Estación de tren Alcover,41.261658,1.174228,Alcover,España
Estación de tren Binefar,41.849768,0.291478,La Litera / La Llitera,España
Estación de tren Monzon-Rio Cinca,41.913679,0.196939,Monzón,España
Estación de tren Sarinyena,41.817529,-0.17076,Sariñena,España
Estación de tren Granyen,41.938033,-0.369329,Grañén,España
Estación de tren Lhospitalet de Llobregat,41.364129,2.100766,l'Hospitalet de Llobregat,España
Estación de tren Montcada Bifurcacio,41.468992,2.178904,Montcada i Reixac,España
Estación de tren Cerdanyola del Valles,41.492582,2.14763,Cerdanyola del Vallès,España
Estación de tren Barbera del Valles,41.507162,2.127558,Barbera Del Valles,España
Estación de tren Sabadell Sud,41.53662,2.105617,Sabadell,España
Estación de tren Terrasa Est,41.567261,2.041561,Terrassa,España
Estación de tren Sant Vicenc de Castellet,41.667899,1.863451,Sant Vicenç de Castellet,España
Estación de tren Manresa,41.720129,1.82899,Manresa,España
Estación de tren Rajadell,41.733159,1.696275,Rajadell,España
Estación de tren Aguilar de Segarra,41.738917,1.62372,Aguilar de Segarra,España
Estación de tren Seguers-Sant Pere Sallavinera,41.747991,1.574167,Sant Pere Sallavinera,España
Estación de tren Calaf,41.730334,1.515097,Calaf,España
Estación de tren Sant Marti Sesgueioles,41.701217,1.486204,Pujalt,España
Estación de tren Sant Guim de Freixenet,41.655924,1.42053,Sant Guim de Freixenet,España
Estación de tren Cervera,41.673611,1.274773,Cervera,España
Estación de tren Tarrega,41.650387,1.138963,Tàrrega,España
Estación de tren Anglesola,41.646448,1.079192,Anglesola,España
Estación de tren Bellpuig,41.632545,1.012993,Bellpuig,España
